user_id	created_at	company_id	language	activated_at	state
13007	2014-05-26 5:10:17	1	english	2014-05-26	active
13056	2014-05-27 13:39:18	7403	german	2014-05-27	active
13067	2014-05-27 15:38:03	205	english	2014-05-27	active
13194	2014-05-29 12:18:17	1	spanish	2014-05-29	active
13363	2014-06-02 12:04:29	256	english	2014-06-02	active
13397	2014-06-02 12:08:05	2	japanese	2014-06-02	active
13433	2014-06-03 13:36:48	6806	english	2014-06-03	active
13466	2014-06-03 10:49:58	1	chinese	2014-06-03	active
13536	2014-06-04 17:44:11	21	spanish	2014-06-04	active
13544	2014-06-04 16:28:25	23	spanish	2014-06-04	active
13559	2014-06-05 11:30:05	11716	english	2014-06-05	active
13606	2014-06-05 12:01:59	10423	french	2014-06-05	active
13678	2014-06-06 15:52:52	7039	english	2014-06-06	active
13741	2014-06-09 9:29:23	4	english	2014-06-09	active
13763	2014-06-09 10:21:14	1	english	2014-06-09	active
13823	2014-06-10 8:13:06	8157	spanish	2014-06-10	active
13909	2014-06-11 13:02:16	4897	english	2014-06-11	active
13919	2014-06-11 10:22:45	7311	russian	2014-06-11	active
13988	2014-06-12 17:10:38	94	english	2014-06-12	active
13989	2014-06-12 10:08:17	11638	english	2014-06-12	active
13990	2014-06-12 17:37:21	5	english	2014-06-12	active
14014	2014-06-13 16:20:34	3201	japanese	2014-06-13	active
14081	2014-06-15 13:06:42	1	portugese	2014-06-15	active
14089	2014-06-16 16:04:24	4258	english	2014-06-16	active
14166	2014-06-16 13:25:47	1926	portugese	2014-06-16	active
14173	2014-06-17 12:35:51	18	english	2014-06-17	active
14212	2014-06-17 6:25:43	9597	indian	2014-06-17	active
14235	2014-06-17 17:31:56	144	french	2014-06-17	active
14307	2014-06-18 10:08:29	547	english	2014-06-18	active
14313	2014-06-18 22:22:44	6486	indian	2014-06-18	active
14320	2014-06-19 10:56:10	7705	spanish	2014-06-19	active
14354	2014-06-19 11:48:15	6	spanish	2014-06-19	active
14382	2014-06-19 12:39:35	12606	chinese	2014-06-19	active
14448	2014-06-20 3:25:55	26	english	2014-06-20	active
14491	2014-06-22 18:02:41	4639	english	2014-06-22	active
14637	2014-06-24 9:55:21	12852	english	2014-06-24	active
14653	2014-06-25 13:37:49	8475	english	2014-06-25	active
14686	2014-06-25 21:26:17	4	english	2014-06-25	active
14726	2014-06-26 18:14:46	12152	english	2014-06-26	active
14727	2014-06-26 14:52:38	76	spanish	2014-06-26	active
14739	2014-06-26 14:19:29	4	french	2014-06-26	active
14743	2014-06-26 11:20:45	11	english	2014-06-26	active
14746	2014-06-26 16:15:53	344	english	2014-06-26	active
14849	2014-06-27 10:15:42	10219	indian	2014-06-27	active
14885	2014-06-28 18:37:56	11326	arabic	2014-06-28	active
14918	2014-06-30 10:32:30	6955	spanish	2014-06-30	active
14998	2014-07-01 12:46:20	373	english	2014-07-01	active
15725	2014-07-12 18:39:36	2777	japanese	2014-07-12	active
16170	2014-07-21 11:05:45	6354	english	2014-07-21	active
17067	2014-08-04 19:00:06	1416	english	2014-08-04	active
18851	2014-08-29 13:17:38	11617	russian	2014-08-29	active
13597	2014-06-05 20:27:44	12190	english		pending
16460	2014-07-24 18:43:19	9436	english		pending
